id,image,title,grade,yearRead,yearOrder,description,quote,genre,published,author,Prior-reads
174,x,Dead Wake: The Last Crossing of the Lusitania,9.2,2019,20,"While a work of non-fiction, this reads like a masterfully composed novel. Larson’s incredibly detailed descriptions of weather, clothing, and interactions gave me a sense of being on the ship from the moment it left port in Manhattan to the moment the last radio antenna dipped below the surface of the Celtic Sea.","Any other man would have found this scene terrifying. Brooks was entranced. He saw the body of the torpedo moving well ahead of the wake, through water he described as being ‘a beautiful green.’ The torpedo ‘was covered with a silvery phosphorescence, you might term it, which was caused by the air escaping from the motors.’ He said, ‘It was a beautiful sight.’",History,2015,Erik Larson,
173,x,The Long Dark Tea-Time of the Soul,6.7,2019,19,"Other than not having a likable protagonist (or any other characters), having a weak plot, and being essentially a weak proto-American Gods, it's okay I guess.","The sun crept slowly across the bedclothes, as of nervous of what it might find amongst them, slunk down the side of the bed, moved in a rather started way across some objects it encountered on the floor, toyed nervously with a couple of motes of dust, lit briefly on a stuffed fruit bat hanging in the corner, and fled.",Science fiction,1988,Douglas Adams,
172,x,Dirk Gently’s Holistic Detective Agency,8.3,2019,18,"If you've watched the eponymous show, then you should have very little idea of what is happening in this book.","Well, said Reg, in a loudly confidential whisper, as if introducing the subject of nipple-piercing in a nunnery.",Science fiction,1987,Douglas Adams,
171,x,Origin Story,8.5,2019,17,"From the Big Bang there have been a few major event thresholds: the formation of stars, the chemical complexity of planets, the origin of life, the development of civilization. All of these are connected by harnessing energy, increasing complexity, and paying entropy.",,History,2018,David Christian,
170,x,Mother Night,8.8,2019,16,"Howard W. Campbell, an infamous Nazi propagandists, tells his story from in prison in Israel. Is he guilty of war crimes or an unappreciated American spy? Maybe both. But when someone steals your light bulbs, what is left to guide you?","You said he was arrested and tried? / And shot. / For plagiarism? / For originality. Plagiarism is the silliest of misdemeanors. What harm is there in writing what's already been written? Real originality is a capital crime, often calling for cruel and unusual punishment in advance of the coup de grace.",Fiction,1962,Kurt Vonnegut Jr,
169,x,The Uninhabitable Earth: Life After Warming,8.5,2019,15,"If you’re going to read this book of what will very likely come to be, try to find a way to keep your anxiety in check. It will raise. It should raise.","The ravings [of the Book of Revelation], the inescapable sourcebook for Western anxiety about the end of the world, have so predominated the Western dreamscape—becoming something like the Gnostic wallpaper of our bourgeois inner lives.",Non-fiction,2019,David Wallace-Wells,
168,x,The Lord of the Rings,9.8,2018,24,The words are poetry. Every time I read this book I fall more deeply in love with the world The Professor created.,"The enemy? His sense of duty was no less than yours, I deem. You wonder what his name is, where he came from. And if he was really evil at heart. What lies or threats led him on this long march from home. If he would not rather have stayed there in peace. War will make corpses of us all.",fiction literature,1955,J.R.R. Tolkien,2013
167,x,Lies My Teacher Told Me: Everything Your American History Textbook Got Wrong,9.1,2019,14,"Loewen asserts that American history textbooks, rather than teach American history, serve essentially to create nationalist citizens who are taught not to think critically, that America is the greatest republic in the history of the world, and that our country has done no wrong. ","Of course the people do not want war...But, after all, it is the leaders of the country who determine the policy, and it is always a simple matter to drag the people along, whether it is a democracy, a fascist dictatorship, a parliament, or a communist dictatorship. Voice or no voice, the people can always be brought to the bidding of the leaders. That is easy. All you have to do is tell them that they are being attacked and denounce the pacifists for lack of patriotism. -German field marshall Hermann Goering, Nuremberg, April 18, 1946",History,1998,James W. Loewen,
166,x,The Spell of the Sensuous,8.4,2019,13,Abram considers the development of writing to be the single most influencing factor as to why moder-day humans are less connected to the natural world than were our ancestors and he gives some pretty great examples along the way.,"Two of these Winds, often spoken of as Little Winds, are believed to be the individual’s “means of knowing.” These two Little Winds linger within the spiraling folds of our two ears, and it is from there that they offer guidance to us, alerting us to near and distant difficulties, helping us to plan and to make choices. When a Navajo person finds himself thinking in words, this is said to be the voice of one or both of these two Little Winds speaking into his ears.",philosophy,1997,David Abram,
165,x,Beowulf: Translation & Commentary,8.1,2019,12,"I don’t doubt that this poem was more transformative than most books I’ve read. I don’t doubt that I am not in touch enough with the nuances of the Christian domination of the Nordic peoples to grasp the nuanced criticism of the new religion. Nonetheless, this text comes off more as a bad knock off of Tolkien or Prachett, rather than a predecessor to it. ",,Epic Poem,2014,J.R.R. Tolkien,
164,x,The Pillowman,8.8,2019,11,"A man made of pillows helps children think of clever ways to die. A little girl wants to be Jesus, so she gets crucified. A funny little piggy gets a new coat of paint. ",,Play,2003,Martin McDonagh,
163,x,Manage Your Day to Day,6.6,2019,10,"This is essentially a collection of fleshed out platitudes. It's all great advice, but I prefer a bit of meat with my advice. I guess that's why I read fiction.",,Self-Help,2013,99U,
162,x,Faust,8.5,2019,9,"Faust is a jerk and definitely deserves the hell he signed up for. Mephistopheles is badass, but his great plans keep getting foiled by that pesky God character.","There was a king once reigning / who had a big black flea / and loved him past explaining / as his own son were he / he called his man of stitches / the tailor came straightaway / here, measure the lad for breeches / and measure his coat, I say!",Tragic play,1806,Johann Wolfgang von Goethe,
161,x,The Corrections,9,2019,8,The 90's are over. The bubble is bursting. The leather is getting smelly. The ribs are getting cold. The wound is bleeding. The ship is sinking. Christmas is still there.,She was seventy-five and she was going to make some changes in her life.,Literary Realism,2001,Jonathan Franzen,
160,x,The Wind-Up Bird Chronicle,8.3,2019,7,"First his cat goes missing. Then his wife. He goes on a hunt to find them both. He makes a lot of food, drinks a lot of beer, and goes down a well. It was intriguing and the historical bits were quite good, but I was never truly entranced. Still, it was better than being skinned alive.",,"Fiction, Fantastical Realism",1994,Haruki Murakami,
159,x,Player Piano,7.6,2019,6,A man who is a bit bored with all of the automation that he helped create decides to buy a farm...and lead a revolution.,"He could see the device now—sort of an Iron Maiden, without the spikes, and of course, electronic, of course, that would grasp a little girl firmly in St. Louis, and eject her into the arms of relatives at Poughkeepsie.",Science fiction,1952,Kurt Vonnegut Jr,
158,x,The Princess Bride,8.6,2019,5,"The Spaniard, the giant, the pirate, and the princess. You know the story. But did you that it's all true history? There is even a museum in Florin. There is a lot you didn't know.","Life isn’t fair, it’s just fairer than death, that’s all.",Fantasy,1973,William Goldman,
157,x,"Modernist Cuisine, Volume 2: Techniques",,2019,4,"Detailed descriptions of the science and applications of modernist food techniques like Combi ovens, sous vide, and liquid nitrogen.",,Cooking science,2011,Nathan Myhrvold,
